Referencia,Produto
LACOR 60170,PAELHEIRA ESMALTADA 10CM - 60170
LACOR 60305,RALADOR INOX 18/10 4 CARAS - 60305
LACOR 60311,PASSADOR CHINÊS 10CM - 60311
LACOR 60315,PASSADOR CHINÊS 14CM - 60315
LACOR 60317,PASSADOR CHINÊS 16CM - 60317
LACOR 60320,PASSADOR CHINÊS 20CM - 60320
LACOR 60327,PICADORA DE GELO MANUAL - 60327
LACOR 60329,PICADORA DE CARNE MANUAL INOX - 60329
LACOR 60331,MANDOLINA PLÁSTICO 5 LÂMINAS E ESPREMEDO - 60331
LACOR 60332,MANODOLINA INOX LUXE 5 LÂMINAS - 60332
LACOR 60335,RALADOR INOX COM MANIVELA COM 2 LÂMINAS - 60335
LACOR 60340,PICADORA MANUAL - 60340
LACOR 60342,RODA DE CORTE C/2 DISCOS - REFª 60342
LACOR 60343,CORTA-BATATAS CHIP 3 CORTADORES - 60343
LACOR 60345,PELADORA DE FRUTA VERTICAL C/MANIVELA - REFª 60345
LACOR 60357,MANDOLINA INÓXIDÁVEL COM PROTECTO - 60357
LACOR 60371,CORTADOR DE BOLAS OVAL - MOD. PROFISSIONAL - REFª 60371
LACOR 60374,DESCAROÇADOR DENTADO - REFª 60374
LACOR 60376,DESCOROÇADOR FORMA CORAÇÃO - MOD. PROF. -REFª 60376
LACOR 60378,"PELA-BATATAS ""Y"" PROFESIONAL DENTADO - 60378"
LACOR 60387,ESMAGA-ALHOS LAMINADOR DUAL - 60387
LACOR 60390,MAQUINA DE PASTA 145 MM. - 60390
LACOR 60392,PELADOR DE ANANAS INOXIDABLE 24 CMS - 60392
LACOR 60393,JOGO CORTADOR E DESCASCADOR DE ANANAS - 60393
LACOR 60399,FACA PROFESIONAL PARA FRUTA - 60399
LACOR 60404,ESPÁTULA PROFESIONAL POLIETILENO 81.5CMS - 60404
LACOR 60405,TÁBUA DE CORTE POLIETILENO GN 1/2x3 CM - 60405
LACOR 60406,TÁBUA DE CORTE POLIETILENO GN 1/1X3 CMS. - 60406
LACOR 60407,TÁBUA DE CORTE POLIETILENO 60x40x3 CMS - 60407
LACOR 60408,ESCUMADEIRA 8CM. - 60408
LACOR 60410,ESCUMADEIRA 10CM. - 60410
LACOR 60417,ESCUMADEIRA ARAME 18 CMS. - 60417
LACOR 60424,ESPÁTULA PIZZA PEQUENA - 60424
LACOR 60430,ESPÁTULA TRIANGULAR CABO SÓLIDO INOX - 60430
LACOR 60431,MARTELO ABLANDADOR DE CARNE - 60431
LACOR 60452,"ESPÁTULA NYLON C/CABO INÓX - 7,5X11,5cm - REFª 60452"
LACOR 60455,"TÁBUA CORTE POLIETILENO 32,5x26x2 CM - 60455"
LACOR 60457,TÁBUA CORTE POLIETILENO 60x40x2 CM - 60457
LACOR 60467,ESPÁTULA COMPRIDA ANGULADA INOX 20CM - 60467
LACOR 60468,ESPÁTULA COMPRIDA INOX 25CM - 60468
LACOR 60471,TÁBUA CORTE POLIETILENO VERDE GM 1/2X2 - 60471
LACOR 60472,TÁBUA CORTE POLIETILENO MARRON GN 1/2X2 - 60472
LACOR 60473,TÁBUA CORTE POLIETILENO VERMELHO 1/2X2 - 60473
LACOR 60474,TÁBUA CORTE POLIETILENO AMARELO 1/2X2 - 60474
LACOR 60475,TÁBUA CORTE POLIETILENO AZUL GN1/1x2 CM - 60475
LACOR 60476,TÁBUA CORTE POLIETILENO VERDE GN1/1x2 CM - 60476
LACOR 60477,TÁBUA CORTE POLIETILENO MARRO GN1/1x2 - 60477
LACOR 60478,TÁBUA CORTE POLIETILENO ROJA GN1/1x2 CM - 60478
LACOR 60479,TABLA CORTE POLIET. HD GN 1/1X2 AMARILLO - 60479
LACOR 60480,TÁBUA DE CORTE POLIETIL. PRETO GN 1/2X2CM - 60480
LACOR 60481,TÁBUA DE CORTE POLIETIL.NEGRO GN 1/1X2CM - 60481
LACOR 60487,TABUA CORTE PAO BAMBU 40X30X2CM - 60487
LACOR 60501,TÁBUA DE CORTE POLIETILENO 30X18X1 CM. - 60501
LACOR 60502,TÁBUA DE CORTE POLIETILENO 36X22X1 CM. - 60502
LACOR 60503,TÁBUA DE CORTE POLIETILENO 42X25.5X1 CM. - 60503
LACOR 60509,COLHER OBLIQUA 7.5 CMS. - 60509
LACOR 60552,JOGO COZINHA 5 PEÇAS SILICONE C/PÉ GIR. - REFª 60552
LACOR 60600,TÁBUA CORTE POLIETILENO AZUL 60X40X2 - 60600
LACOR 60601,TÁBUA CORTE POLIETILENO VERDE 60X40X2 - 60601
